,id,name,location,categories,referralId,hasPerk,venuePage
0,4b833b13f964a52074fe30e3,Vietnamese Delight Pho 肥牛粉,"{'address': '9-3555 Don Mills Rd.', 'crossStreet': 'Don Mills Rd. and Finch Ave.', 'lat': 43.79416817943687, 'lng': -79.35351902927763, 'labeledLatLngs': [{'label': 'display', 'lat': 43.79416817943687, 'lng': -79.35351902927763}], 'cc': 'CA', 'city': 'Toronto', 'state': 'ON', 'country': 'Canada', 'formattedAddress': ['9-3555 Don Mills Rd. (Don Mills Rd. and Finch Ave.)', 'Toronto ON', 'Canada']}","[{'id': '4bf58dd8d48988d14a941735', 'name': 'Vietnamese Restaurant', 'pluralName': 'Vietnamese Restaurants', 'shortName': 'Vietnamese', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/vietnamese_', 'suffix': '.png'}, 'primary': True}]",v-1603876373,False,
1,4c80031ed4e237042ec85088,Vietnamese Delicacy,"{'address': '633 Silver Star Blvd., F2', 'lat': 43.822723997185975, 'lng': -79.29902730080833, 'labeledLatLngs': [{'label': 'display', 'lat': 43.822723997185975, 'lng': -79.29902730080833}], 'cc': 'CA', 'city': 'Scarborough', 'state': 'ON', 'country': 'Canada', 'formattedAddress': ['633 Silver Star Blvd., F2', 'Scarborough ON', 'Canada']}","[{'id': '4bf58dd8d48988d142941735', 'name': 'Asian Restaurant', 'pluralName': 'Asian Restaurants', 'shortName': 'Asian', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/asian_', 'suffix': '.png'}, 'primary': True}]",v-1603876373,False,
2,4bc656c4b387d13aadc3c1e8,Kim Po Vietnamese Cuisine - 金寶越南美食,"{'address': '58 Redlea Ave.', 'crossStreet': 'at Steeles Ave. E', 'lat': 43.823292440940705, 'lng': -79.30525733923614, 'labeledLatLngs': [{'label': 'display', 'lat': 43.823292440940705, 'lng': -79.30525733923614}], 'postalCode': 'M1V 4S3', 'cc': 'CA', 'city': 'Scarborough', 'state': 'ON', 'country': 'Canada', 'formattedAddress': ['58 Redlea Ave. (at Steeles Ave. E)', 'Scarborough ON M1V 4S3', 'Canada']}","[{'id': '4bf58dd8d48988d14a941735', 'name': 'Vietnamese Restaurant', 'pluralName': 'Vietnamese Restaurants', 'shortName': 'Vietnamese', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/vietnamese_', 'suffix': '.png'}, 'primary': True}]",v-1603876373,False,
3,4da8a1fb43a12d0c2656ada3,Nguyen Huong Vietnamese Sandwiches,"{'address': '5661 Steeles Avenue East (Unit 1)', 'crossStreet': 'Middlefield Rd.', 'lat': 43.83211981081191, 'lng': -79.26540304641485, 'labeledLatLngs': [{'label': 'display', 'lat': 43.83211981081191, 'lng': -79.26540304641485}], 'cc': 'CA', 'city': 'Toronto', 'state': 'ON', 'country': 'Canada', 'formattedAddress': ['5661 Steeles Avenue East (Unit 1) (Middlefield Rd.)', 'Toronto ON', 'Canada']}","[{'id': '4bf58dd8d48988d1c5941735', 'name': 'Sandwich Place', 'pluralName': 'Sandwich Places', 'shortName': 'Sandwiches', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/deli_', 'suffix': '.png'}, 'primary': True}]",v-1603876373,False,
4,4b194554f964a5203bda23e3,Pho Vietnamese Delight,"{'address': '5252 Yonge St.', 'crossStreet': 'at Norton Ave.', 'lat': 43.77819145358305, 'lng': -79.41516272159556, 'labeledLatLngs': [{'label': 'display', 'lat': 43.77819145358305, 'lng': -79.41516272159556}], 'cc': 'CA', 'city': 'Toronto', 'state': 'ON', 'country': 'Canada', 'formattedAddress': ['5252 Yonge St. (at Norton Ave.)', 'Toronto ON', 'Canada']}","[{'id': '4bf58dd8d48988d14a941735', 'name': 'Vietnamese Restaurant', 'pluralName': 'Vietnamese Restaurants', 'shortName': 'Vietnamese', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/vietnamese_', 'suffix': '.png'}, 'primary': True}]",v-1603876373,False,
5,4b0177f5f964a520b34222e3,Xe Lua Vietnamese Cuisine 火車頭,"{'address': '254 Spadina Ave.', 'crossStreet': 'at Cameron St.', 'lat': 43.65176783974445, 'lng': -79.39781109434253, 'labeledLatLngs': [{'label': 'display', 'lat': 43.65176783974445, 'lng': -79.39781109434253}], 'postalCode': 'M5T 2C2', 'cc': 'CA', 'city': 'Toronto', 'state': 'ON', 'country': 'Canada', 'formattedAddress': ['254 Spadina Ave. (at Cameron St.)', 'Toronto ON M5T 2C2', 'Canada']}","[{'id': '4bf58dd8d48988d14a941735', 'name': 'Vietnamese Restaurant', 'pluralName': 'Vietnamese Restaurants', 'shortName': 'Vietnamese', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/vietnamese_', 'suffix': '.png'}, 'primary': True}]",v-1603876373,False,
8,4af1c3a4f964a520f2e221e3,Bun Saigon Vietnamese Restaurant,"{'address': '252 Spadina Ave.', 'crossStreet': 'at Cameron St.', 'lat': 43.651676463481216, 'lng': -79.39765619789816, 'labeledLatLngs': [{'label': 'display', 'lat': 43.651676463481216, 'lng': -79.39765619789816}], 'postalCode': 'M5T 2C2', 'cc': 'CA', 'city': 'Toronto', 'state': 'ON', 'country': 'Canada', 'formattedAddress': ['252 Spadina Ave. (at Cameron St.)', 'Toronto ON M5T 2C2', 'Canada']}","[{'id': '4bf58dd8d48988d14a941735', 'name': 'Vietnamese Restaurant', 'pluralName': 'Vietnamese Restaurants', 'shortName': 'Vietnamese', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/vietnamese_', 'suffix': '.png'}, 'primary': True}]",v-1603876373,False,
9,4e7e219f775b306072c059ef,Star Fruit Vietnamese Restaurant,"{'address': '50 Bur Oak Ave.', 'lat': 43.88897, 'lng': -79.31439, 'labeledLatLngs': [{'label': 'display', 'lat': 43.88897, 'lng': -79.31439}], 'cc': 'CA', 'city': 'Markham', 'state': 'ON', 'country': 'Canada', 'formattedAddress': ['50 Bur Oak Ave.', 'Markham ON', 'Canada']}","[{'id': '4bf58dd8d48988d14a941735', 'name': 'Vietnamese Restaurant', 'pluralName': 'Vietnamese Restaurants', 'shortName': 'Vietnamese', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/vietnamese_', 'suffix': '.png'}, 'primary': True}]",v-1603876373,False,
10,4f2f058be4b0dbffddea66e1,Kim Po Vietnamese,"{'address': '9625 Yonge Street, Unit 5', 'lat': 43.86190617960695, 'lng': -79.43304123325689, 'labeledLatLngs': [{'label': 'display', 'lat': 43.86190617960695, 'lng': -79.43304123325689}], 'postalCode': 'L4C 5T2', 'cc': 'CA', 'city': 'Richmond Hill', 'state': 'ON', 'country': 'Canada', 'formattedAddress': ['9625 Yonge Street, Unit 5', 'Richmond Hill ON L4C 5T2', 'Canada']}","[{'id': '4bf58dd8d48988d14a941735', 'name': 'Vietnamese Restaurant', 'pluralName': 'Vietnamese Restaurants', 'shortName': 'Vietnamese', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/vietnamese_', 'suffix': '.png'}, 'primary': True}]",v-1603876373,False,
11,4b5b4676f964a52092f028e3,VIP Vietnamese Restaurant 金牛苑,"{'address': '3229 Hwy 7 E', 'crossStreet': 'at Fairburn Dr', 'lat': 43.848530627548115, 'lng': -79.3494273184873, 'labeledLatLngs': [{'label': 'display', 'lat': 43.848530627548115, 'lng': -79.3494273184873}], 'postalCode': 'L3R 0J5', 'cc': 'CA', 'city': 'Markham', 'state': 'ON', 'country': 'Canada', 'formattedAddress': ['3229 Hwy 7 E (at Fairburn Dr)', 'Markham ON L3R 0J5', 'Canada']}","[{'id': '4bf58dd8d48988d14a941735', 'name': 'Vietnamese Restaurant', 'pluralName': 'Vietnamese Restaurants', 'shortName': 'Vietnamese', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/vietnamese_', 'suffix': '.png'}, 'primary': True}]",v-1603876373,False,
